fitness,initial_jump_distance,score_to_speed_ratio
552,312,0.4745365836914105
2940,320,0.17
2177,283,0.1757967154843473
699,319,0.23925388293912897
420,343,0.4333539958184826
802,326,0.041891631879838964
935,290,0.4314763291977862
